county,county_fips,agency_type,agency_name,street,city
Broome,36007,ambulance_als,"Union Volunteer Emergency Squad, Inc.",8 S. Avenue B,"Endwell, NY 13760"
Broome,36007,ambulance_als,"Union Volunteer Emergency Squad, Inc.",8 South Avenue B,"Endwell, NY 13762"
Broome,36007,ambulance_als,United Health Service Hospitals Inc. EMS,33-57 Harrison St.,"Johnson City, NY 13790"
Broome,36007,ambulance_als,Vestal Volunteer Emergency Squad Inc.,340 Vestal Parkway East,"Vestal, NY 13850"
Broome,36007,ambulance_als,"Vestal Volunteer Emergency Squad, Inc.",340 Vestal Parkway East,"Vestal, NY 13850"
Broome,36007,ambulance_als,"Windsor Emergency Services, Inc.",PO Box 434,"Windsor, NY 13865"
Cattaraugus,36009,ambulance_als,"Allegany Rescue and EMS, Inc",PO Box 217,"Allegany, NY 14706"
Cattaraugus,36009,ambulance_als,"Avarint, Inc.",11701 Watson Road,"Springville, NY 14141"
Cattaraugus,36009,ambulance_als,Carrollton Joint Fire District,PO Box 26,"Limestone, NY 14753"
Cattaraugus,36009,ambulance_als,"Cattaraugus Area Ambulance Services, Inc.",PO Box 44,"Cattaraugus, NY 14719"
Cattaraugus,36009,ambulance_als,Cattaraugus County Sheriff's Office SRT,301 Court Street,"Little Valley, NY 14755"
Cattaraugus,36009,ambulance_als,"Delevan Volunteer Fire Company, Inc.",PO Box 218,"Delevan, NY 14042"
Cattaraugus,36009,ambulance_als,East Otto Fire District,8990 Reed Hill Road,"East Otto, NY 14729"
Cattaraugus,36009,ambulance_als,"Ellicottville/Great Valley Ambulance Service, Inc.",PO Box 74,"Ellicottville, NY 14731"
Cattaraugus,36009,ambulance_als,"Franklinville Volunteer Fire Company, Inc.",75 North Main Street,"Franklinville, NY 14737"
Cattaraugus,36009,ambulance_als,Hinsdale Fire District,3832 Church Street,"Hinsdale, NY 14743"
Cattaraugus,36009,ambulance_als,"Ischua Fire Department, Inc.",PO Box 24,"Ischua, NY 14746"
Cattaraugus,36009,ambulance_als,"Knapp Creek Volunteer EMS, Inc.",253 State Route 16 South,"Knapp Creek, NY 14760"
